nb_nodes;latency;overhead
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
9;16;15
9;15;15
9;15;1
9;14;1
9;13;1
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
19;34;33
19;33;33
19;32;33
19;31;33
19;30;33
2;8;7
2;7;7
2;6;7
2;5;7
2;4;7
2;8;7
2;7;7
2;6;7
2;5;7
2;4;7
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
12;28;27
12;27;27
12;26;27
12;25;27
12;24;27
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
17;32;31
17;31;31
17;30;31
17;29;31
17;28;31
6;10;9
6;9;9
6;8;9
6;13;6
6;12;6
6;10;9
6;9;9
6;8;9
6;13;6
6;12;6
6;10;9
6;9;9
6;8;9
6;13;6
6;12;6
6;10;9
6;9;9
6;8;9
6;13;6
6;12;6
6;10;9
6;9;9
