nb_nodes;latency;overhead
9;13;1
19;30;33
2;4;7
12;24;27
17;28;31
6;12;6
18;33;1
2;3;1
16;36;39
14;28;4
6;9;12
3;5;2
12;25;28
12;25;1
13;29;32
5;9;2
8;18;21
12;24;27
3;5;4
10;35;15
2;2;1
6;12;2
13;27;1
19;33;3
7;10;3
10;24;4
1;1;1
12;31;5
7;18;8
2;6;1
10;23;26
1;1;1
8;17;20
9;17;1
19;45;2
6;15;3
19;39;42
18;37;40
18;48;9
12;27;30
19;29;4
16;39;4
8;19;6
18;33;36
9;14;17
14;33;4
18;40;1
14;20;23
15;25;3
18;52;55
19;51;3
17;40;4
1;1;1
6;13;1
12;23;26
7;13;3
13;25;3
11;22;3
13;24;27
3;5;2
12;27;30
4;7;5
18;45;6
16;30;33
13;26;1
18;39;42
14;30;1
9;14;17
6;10;1
12;34;7
19;40;5
15;31;5
13;30;5
8;20;23
12;25;2
14;19;22
12;22;25
11;16;1
10;20;23
15;19;22
10;17;1
2;4;1
18;40;43
10;18;1
18;39;3
19;39;1
2;2;1
14;29;3
6;20;8
18;33;36
18;48;51
18;40;43
9;19;22
13;29;8
16;33;36
19;43;1
3;4;2
8;9;2
2;5;4
15;28;31
19;48;7
13;25;28
7;13;1
19;40;43
15;33;1
1;1;1
12;29;32
17;34;6
6;8;11
13;25;5
13;29;32
8;19;8
6;13;4
11;24;27
1;1;1
16;25;28
4;6;9
19;50;17
8;12;1
15;29;1
13;23;3
3;2;1
15;32;3
10;29;32
9;12;2
18;37;8
2;4;3
2;3;2
8;15;6
18;40;3
17;36;3
11;16;19
10;20;3
15;33;36
10;20;23
16;41;1
7;10;2
15;30;7
3;3;2
1;1;1
1;1;1
14;28;3
7;13;1
12;30;2
8;15;18
7;17;13
7;10;13
1;1;1
9;18;21
7;11;5
6;12;15
1;1;1
14;34;37
7;12;2
18;34;37
5;8;2
9;26;15
6;8;11
2;2;1
12;30;2
19;34;4
12;33;36
18;37;40
17;28;1
17;47;17
3;5;4
6;17;20
6;11;3
2;2;1
7;6;9
13;20;23
6;10;1
1;1;1
10;23;2
6;7;10
12;27;2
14;26;2
5;8;11
5;6;2
3;4;1
6;11;1
12;30;5
11;24;7
12;23;26
14;35;6
6;12;4
13;23;3
18;35;38
11;22;7
9;25;12
2;5;3
3;5;4
2;8;2
13;24;1
10;22;25
15;27;3
2;6;5
16;32;5
4;7;10
16;35;38
1;1;1
16;33;2
18;38;1
6;14;8
9;15;2
17;32;3
16;39;42
12;25;4
18;34;37
11;30;18
17;31;34
8;13;1
6;10;13
1;1;1
17;35;2
12;27;30
8;16;19
5;10;2
8;15;18
13;21;24
8;15;3
1;1;1
4;6;9
1;1;1
4;4;7
10;19;2
4;6;9
14;28;2
6;12;3
9;23;7
16;42;45
2;5;2
8;13;1
12;27;4
5;8;6
2;9;3
13;28;2
19;47;14
16;33;4
15;32;1
1;1;1
5;9;4
14;27;1
8;17;3
6;14;17
4;11;2
6;9;12
2;2;1
19;39;5
5;9;12
1;1;1
18;39;42
11;17;20
5;6;1
14;28;2
16;38;41
2;4;3
19;44;47
9;19;1
6;9;12
5;6;9
15;31;10
7;14;17
19;34;4
3;5;1
7;10;2
11;19;22
17;38;6
3;5;4
2;2;1
7;13;7
2;3;6
16;39;42
9;17;1
8;12;15
8;14;17
10;24;4
7;10;13
13;36;6
3;4;2
6;23;14
11;29;6
11;25;28
17;34;10
3;2;1
2;5;4
5;8;11
15;37;8
6;11;2
3;3;1
13;34;15
7;11;14
3;3;2
1;1;1
11;21;3
13;20;23
11;27;6
17;30;33
7;10;1
18;37;40
11;17;20
13;31;8
8;15;18
12;22;2
5;5;8
4;7;5
10;17;5
12;25;28
1;1;1
10;17;20
14;38;16
15;24;27
2;2;5
7;10;13
2;2;1
2;2;1
1;1;1
14;38;4
9;13;16
12;28;31
5;6;2
12;26;5
1;1;1
2;3;2
14;25;28
15;30;33
14;27;30
16;31;3
9;13;16
8;20;9
9;19;4
7;15;7
14;33;36
7;21;24
17;40;1
8;18;4
6;10;2
12;24;2
11;24;4
5;6;2
14;31;6
7;16;5
8;13;16
17;32;5
7;17;6
1;1;1
15;27;1
5;10;3
18;38;41
8;16;19
17;29;5
12;26;3
7;11;1
4;7;10
18;47;50
14;26;1
14;18;21
12;18;21
19;41;1
13;22;25
19;33;2
14;32;2
7;7;1
10;25;28
6;16;8
2;4;1
7;14;17
1;1;1
7;11;5
5;8;3
17;30;33
14;33;36
2;4;3
2;7;4
13;24;2
12;21;3
18;24;27
14;23;2
11;14;1
9;19;22
1;1;1
9;17;1
14;30;33
10;25;28
5;8;3
7;15;7
8;19;22
2;7;3
17;30;6
2;7;6
15;35;1
6;15;6
8;14;5
8;16;2
15;27;30
10;28;3
12;21;24
14;31;7
10;14;17
15;28;31
14;27;30
17;31;3
15;22;25
8;11;14
8;18;1
12;26;29
17;36;2
18;42;45
10;24;5
7;11;3
9;18;21
12;32;1
10;17;1
15;36;39
5;18;14
19;39;6
19;42;6
3;3;1
13;23;26
9;20;10
2;5;2
13;22;25
2;2;1
10;20;23
5;16;7
9;15;18
17;33;1
9;19;22
2;6;2
13;18;21
19;41;6
14;27;30
12;34;10
9;13;16
7;12;15
19;41;7
4;7;4
15;35;6
12;31;8
7;14;17
15;32;9
4;9;12
9;16;2
19;45;48
4;8;2
6;13;3
19;31;34
5;7;1
14;26;29
4;14;3
15;50;6
17;36;1
6;8;11
10;16;1
9;13;3
10;15;18
16;36;3
19;30;3
8;13;16
12;25;1
2;3;2
3;2;1
13;29;6
12;24;2
10;26;1
1;1;1
17;34;37
16;30;33
16;45;48
5;7;3
12;21;4
17;33;5
3;6;5
3;3;1
2;3;6
9;25;11
12;22;25
3;6;5
13;22;2
17;46;12
8;9;12
1;1;1
13;29;6
1;1;1
3;6;2
3;4;2
18;44;7
11;16;19
14;32;35
7;15;3
6;13;3
15;32;35
13;20;23
14;27;30
18;48;4
14;43;3
18;39;10
12;23;26
17;32;5
17;33;36
4;5;2
7;10;2
12;25;28
14;32;7
6;12;2
17;44;47
10;31;12
11;14;17
18;44;47
12;24;27
6;8;11
11;22;11
7;14;7
10;33;11
3;3;2
9;15;4
2;2;5
6;19;4
16;33;36
2;8;6
1;1;1
3;2;1
13;20;1
11;21;2
8;16;19
5;7;3
7;14;17
14;36;39
8;14;6
12;25;28
16;31;1
8;23;6
2;3;1
13;29;32
9;21;8
12;24;27
1;1;1
3;3;2
5;5;8
14;28;31
12;26;9
7;10;2
1;1;1
4;6;3
14;35;38
8;14;3
18;28;31
1;1;1
10;16;1
14;35;4
5;8;1
12;23;2
19;43;3
2;2;1
6;9;5
18;43;2
16;34;9
14;34;37
9;16;19
17;33;36
18;37;40
1;1;1
5;5;8
18;37;4
18;38;41
13;20;3
16;34;37
19;41;10
4;8;1
17;34;37
