nb_nodes;latency;overhead
6;12;15
6;11;15
6;13;4
6;12;4
6;11;4
6;12;22
6;11;22
6;13;4
6;12;4
6;11;4
6;12;20
6;11;20
6;12;22
6;11;22
6;13;4
6;12;4
6;11;4
6;13;20
6;12;20
6;13;18
6;12;18
6;13;3
6;12;3
6;11;3
1;1;0
1;1;1
1;1;1
1;1;1
1;1;1
12;18;24
12;17;24
12;16;24
12;15;24
12;14;24
12;18;24
12;17;24
12;16;24
12;15;24
12;14;24
12;18;24
12;17;24
12;16;24
12;15;24
12;14;24
12;18;24
12;17;24
12;16;24
12;15;24
12;14;24
12;18;24
12;17;24
12;16;24
12;15;24
12;14;24
12;18;24
12;17;24
12;16;24
12;15;24
12;14;24
11;14;19
11;13;19
11;12;19
11;11;19
11;14;18
11;14;18
11;13;18
11;12;18
11;11;18
11;10;2
11;14;21
11;13;21
11;12;21
11;11;21
11;14;19
11;14;19
14;22;39
14;21;39
14;20;39
14;19;39
14;18;39
14;22;32
14;21;32
14;20;32
14;19;32
14;18;32
14;22;38
14;21;38
14;20;38
14;19;38
14;18;38
14;22;38
14;21;38
14;20;38
14;19;38
14;18;38
16;23;39
16;22;39
16;21;39
16;20;39
16;19;39
16;23;38
16;22;38
16;21;38
16;20;38
16;19;38
16;23;37
16;22;37
16;21;37
16;20;37
16;19;37
16;23;40
16;22;40
16;21;40
16;20;40
16;19;40
16;23;36
16;22;36
16;21;36
16;20;36
16;19;36
16;23;35
16;22;35
16;21;35
16;20;35
16;19;35
16;23;38
16;22;38
16;21;38
16;20;38
16;19;38
16;23;39
16;22;39
16;21;39
16;20;39
16;19;39
14;21;29
14;21;3
14;20;3
14;19;3
14;18;3
14;22;32
14;22;30
14;21;2
14;20;2
14;19;2
14;18;2
14;22;32
14;21;29
14;22;27
14;21;32
14;21;3
14;20;3
14;19;3
14;18;3
14;21;28
14;21;3
14;20;3
14;19;3
14;18;3
14;22;33
14;22;29
14;22;28
14;22;29
17;17;31
17;18;33
17;17;33
17;16;33
17;16;3
17;15;3
17;19;34
17;18;34
17;17;34
17;16;29
17;17;3
17;16;3
17;16;27
17;18;4
17;17;4
17;17;30
17;16;30
17;16;2
17;15;2
17;16;3
17;15;3
17;17;31
17;16;31
17;15;31
17;17;31
17;16;1
17;15;1
17;16;3
17;15;3
17;17;32
17;16;1
17;15;1
17;16;4
17;15;4
17;17;28
17;16;1
17;15;1
17;16;3
17;15;3
17;15;28
17;17;4
17;16;4
17;16;3
17;15;3
17;17;30
17;16;1
17;15;1
17;16;4
17;15;4
