nb_nodes;latency;overhead
6;11;9
1;1;1
12;14;24
11;12;16
14;18;36
16;19;37
14;20;20
17;15;12
18;30;16
10;16;14
3;5;2
9;16;15
2;2;4
13;14;7
10;11;4
17;21;9
2;2;1
17;18;32
1;1;1
17;23;13
15;21;15
16;15;14
5;8;10
12;16;7
8;15;3
11;15;18
4;10;8
13;12;28
18;32;28
3;3;1
17;25;40
11;18;13
14;19;20
14;19;30
13;14;23
8;11;10
4;9;8
17;23;16
4;7;15
11;13;23
2;2;2
19;20;10
8;10;8
11;16;17
17;19;13
7;10;13
1;1;1
16;18;34
4;5;1
10;13;14
8;13;10
18;32;11
11;15;18
2;4;2
8;11;4
18;24;48
18;25;23
17;20;18
9;9;8
3;2;2
1;1;1
6;11;6
13;17;9
15;21;20
10;12;12
17;20;12
8;11;4
18;24;29
4;5;3
13;14;21
1;1;1
18;24;6
6;9;5
12;20;27
3;2;4
9;12;6
15;17;6
19;19;7
2;5;2
4;5;2
14;16;31
18;19;2
16;20;11
7;12;5
3;5;2
3;9;4
6;14;3
5;9;4
8;13;3
8;10;7
9;12;12
9;15;4
16;26;6
4;6;5
6;5;2
14;21;13
14;20;24
16;22;10
4;11;5
18;26;43
6;5;9
15;21;39
15;18;33
4;9;4
11;13;11
12;8;21
4;4;5
2;5;3
7;10;7
14;22;7
3;3;2
18;31;9
11;21;14
2;6;1
16;20;35
19;33;27
15;22;13
11;17;28
1;1;1
2;10;16
13;15;22
17;21;15
12;25;32
15;18;16
7;8;6
4;8;2
10;12;11
10;15;8
17;29;22
11;14;19
15;16;35
2;3;6
16;18;32
2;3;2
15;19;19
2;4;5
19;21;43
12;14;17
15;15;14
1;1;1
11;17;7
19;22;21
17;26;5
13;20;26
7;8;11
4;5;11
17;22;20
13;12;17
1;1;1
14;20;11
19;22;24
19;26;49
4;6;8
5;9;8
8;11;4
3;3;1
7;9;3
16;15;16
12;14;4
4;7;3
19;24;36
16;18;17
3;6;3
18;18;38
14;15;19
12;15;31
14;20;5
4;6;5
6;10;12
8;11;5
5;8;4
1;1;1
7;6;6
7;9;7
4;6;4
18;26;25
13;13;15
19;28;5
2;3;1
10;10;10
13;17;7
16;21;11
19;31;28
6;10;16
19;28;29
4;8;3
8;17;13
16;24;22
4;6;6
18;29;41
18;29;26
3;4;3
17;18;16
9;14;19
1;1;1
1;1;1
12;13;14
13;19;35
16;22;18
6;6;9
19;21;10
7;11;8
18;26;24
10;15;19
10;13;24
16;20;14
11;12;20
15;19;10
6;8;3
15;22;18
18;27;48
17;23;3
9;12;9
3;2;5
5;12;5
12;18;23
5;6;4
11;13;19
12;18;16
11;13;9
16;20;6
9;8;15
2;4;1
15;15;30
11;11;3
6;12;17
3;5;3
12;20;10
8;13;19
14;21;21
10;13;7
12;18;19
8;11;11
13;20;15
13;22;22
8;11;12
15;17;7
7;10;9
17;25;9
13;15;21
15;24;22
7;12;7
16;20;14
6;9;7
14;19;10
13;17;11
9;13;21
19;25;23
18;24;35
1;1;1
12;20;5
9;12;11
9;10;8
4;5;3
4;6;4
8;8;12
9;16;5
15;14;13
12;17;3
17;29;6
11;16;12
11;12;13
8;8;11
14;19;11
13;17;17
1;1;1
12;16;9
14;18;2
5;6;7
17;27;10
7;8;16
2;4;1
3;3;4
1;1;1
14;23;23
14;18;17
17;18;23
11;11;9
12;18;21
19;29;24
11;15;22
12;18;16
13;17;13
10;10;22
7;9;7
2;19;20
18;20;38
5;6;2
14;19;33
12;20;13
10;17;12
13;16;5
13;13;17
2;5;1
10;19;8
13;18;27
12;17;26
3;4;2
13;23;8
8;14;3
8;9;5
9;13;14
6;8;1
15;19;6
14;22;33
15;22;3
4;10;12
15;18;20
5;4;5
3;3;2
14;21;6
8;10;9
11;17;38
6;9;10
19;26;42
5;6;3
13;16;16
4;5;8
5;6;1
4;9;7
2;3;1
12;18;20
12;18;16
2;4;1
19;25;10
15;19;15
11;12;25
19;22;22
13;23;27
11;15;16
13;16;15
19;25;19
14;21;29
18;24;15
1;1;1
1;1;1
19;28;48
5;6;4
11;18;6
6;8;8
8;14;12
2;5;2
7;8;4
4;6;6
18;30;4
4;7;2
8;9;6
8;8;10
2;7;2
2;4;10
4;10;5
15;19;22
11;12;17
2;2;1
6;11;17
12;16;21
1;1;1
15;18;18
11;12;17
7;6;8
17;20;6
19;17;17
7;6;8
18;19;21
4;6;3
19;29;49
18;27;26
12;15;15
17;18;14
11;16;27
3;3;7
1;1;1
7;9;6
13;14;28
11;9;24
18;23;4
1;1;1
4;7;11
15;18;15
16;19;19
18;17;21
11;15;13
13;17;16
1;1;1
13;13;24
1;1;1
1;1;1
3;4;6
4;8;3
14;15;23
19;24;26
10;16;3
