nb_nodes;latency;overhead
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
9;16;15
9;15;0
9;15;1
9;14;0
9;13;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
19;34;33
19;33;0
19;32;0
19;31;0
19;30;0
2;8;7
2;7;0
2;6;0
2;5;0
2;4;0
2;8;7
2;7;0
2;6;0
2;5;0
2;4;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
12;28;27
12;27;0
12;26;0
12;25;0
12;24;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
17;32;31
17;31;0
17;30;0
17;29;0
17;28;0
6;10;9
6;9;0
6;8;0
6;13;6
6;12;0
6;10;9
6;9;0
6;8;0
6;13;6
6;12;0
6;10;9
6;9;0
6;8;0
6;13;6
6;12;0
6;10;9
6;9;0
6;8;0
6;13;6
6;12;0
6;10;9
6;9;0
6;8;0
6;13;6
6;12;0
6;10;9
6;9;0
6;8;0
6;13;6
6;12;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
18;36;35
18;35;0
18;34;0
18;34;1
18;33;0
2;6;5
2;5;0
2;5;1
2;4;0
2;3;0
2;6;5
2;5;0
2;5;1
2;4;0
2;3;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
16;40;39
16;39;0
16;38;0
16;37;0
16;36;0
14;27;26
14;26;0
14;25;0
14;25;1
14;28;4
