nb_nodes;latency;overhead
9;13;0
19;30;0
2;4;0
12;24;0
17;28;0
6;12;0
18;33;0
2;3;0
16;36;0
14;28;4
6;9;0
3;5;2
12;25;0
12;25;1
13;29;0
5;9;2
8;18;0
12;24;0
3;5;4
10;35;0
2;2;1
6;12;0
13;27;0
19;33;0
7;10;0
10;24;4
1;1;1
12;31;0
7;18;0
2;6;0
10;23;0
1;1;1
8;17;0
9;17;1
19;45;2
6;15;0
19;39;0
18;37;0
18;48;0
12;27;0
19;29;0
16;39;0
8;19;6
18;33;0
9;14;0
14;33;0
18;40;1
14;20;0
15;25;0
18;52;0
19;51;0
17;40;4
1;1;1
6;13;1
12;23;0
7;13;3
13;25;0
11;22;3
13;24;0
3;5;0
12;27;0
4;7;0
18;45;6
16;30;0
13;26;1
18;39;0
14;30;1
9;14;0
6;10;1
12;34;7
19;40;5
15;31;5
13;30;0
8;20;0
12;25;0
14;19;0
12;22;0
11;16;0
10;20;0
15;19;0
10;17;0
2;4;0
18;40;0
10;18;1
18;39;0
19;39;1
2;2;1
14;29;0
6;20;8
18;33;0
18;48;0
18;40;0
9;19;0
13;29;8
16;33;0
19;43;1
3;4;0
8;9;0
2;5;4
15;28;0
19;48;0
13;25;0
7;13;1
19;40;0
15;33;0
1;1;1
12;29;0
17;34;6
6;8;0
13;25;0
13;29;0
8;19;8
6;13;4
11;24;0
1;1;1
16;25;0
4;6;0
19;50;0
8;12;0
15;29;0
13;23;3
3;2;1
15;32;3
10;29;0
9;12;2
18;37;8
2;4;3
2;3;2
8;15;6
18;40;3
17;36;0
11;16;0
10;20;3
15;33;0
10;20;0
16;41;0
7;10;2
15;30;0
3;3;0
1;1;1
1;1;1
14;28;3
7;13;0
12;30;2
8;15;0
7;17;0
7;10;0
1;1;1
9;18;0
7;11;5
6;12;0
1;1;1
14;34;0
7;12;0
18;34;0
5;8;2
9;26;15
6;8;0
2;2;1
12;30;0
19;34;4
12;33;0
18;37;0
17;28;1
17;47;17
3;5;4
6;17;0
6;11;3
2;2;1
7;6;0
13;20;0
6;10;1
1;1;1
10;23;0
6;7;0
12;27;0
14;26;0
5;8;0
5;6;0
3;4;0
6;11;1
12;30;5
11;24;0
12;23;0
14;35;6
6;12;4
13;23;3
18;35;0
11;22;0
9;25;12
2;5;3
3;5;4
2;8;2
13;24;1
10;22;0
15;27;3
2;6;0
16;32;5
4;7;0
16;35;0
1;1;1
16;33;2
18;38;0
6;14;8
9;15;0
17;32;0
16;39;0
12;25;4
18;34;0
11;30;18
17;31;0
8;13;0
6;10;0
1;1;1
17;35;0
12;27;0
8;16;0
5;10;2
8;15;0
13;21;0
8;15;3
1;1;1
4;6;0
1;1;1
4;4;0
10;19;0
4;6;0
14;28;0
6;12;0
9;23;0
16;42;0
2;5;2
8;13;1
12;27;4
5;8;0
2;9;3
13;28;0
19;47;14
16;33;0
15;32;0
1;1;1
5;9;4
14;27;1
8;17;3
6;14;0
4;11;2
6;9;0
2;2;0
19;39;5
5;9;0
1;1;1
18;39;0
11;17;0
5;6;1
14;28;2
16;38;0
2;4;0
19;44;0
9;19;1
6;9;0
5;6;0
15;31;0
7;14;0
19;34;0
