nb_nodes;latency;overhead
4;3;4
4;3;2
4;3;2
4;3;2
4;3;2
4;3;4
4;3;2
4;3;2
4;3;2
4;3;2
4;3;4
4;3;2
4;3;2
4;3;2
4;3;2
4;3;4
4;3;2
4;3;2
4;3;2
4;3;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
18;14;26
18;13;26
18;13;2
18;13;2
18;13;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
15;11;20
15;11;2
15;11;2
15;11;2
15;11;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
8;6;10
8;6;2
8;6;2
8;6;2
8;6;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
2;2;2
2;2;2
2;2;2
2;2;2
2;2;2
2;2;2
2;2;2
2;2;2
2;2;2
2;2;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
19;14;26
19;14;2
19;14;2
19;14;2
19;14;2
3;3;4
3;2;4
3;2;2
3;3;4
3;2;4
3;3;4
3;2;4
3;2;2
3;3;4
3;2;4
3;3;4
3;2;4
3;2;2
3;3;4
3;2;4
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
17;12;2
17;12;2
17;13;24
17;12;24
17;12;2
