nb_nodes;latency;overhead
4;3;2
18;13;2
15;11;2
19;14;2
8;6;2
17;12;2
2;2;2
19;14;2
3;2;4
17;12;2
17;12;2
15;11;2
8;6;2
4;3;2
15;11;2
4;3;2
7;5;2
12;9;2
13;9;2
2;2;2
7;5;2
3;2;4
16;12;2
9;6;2
3;2;4
15;11;2
8;6;2
13;9;2
3;2;4
14;10;2
11;8;2
6;4;2
19;14;2
4;3;2
2;2;2
11;8;2
17;12;2
13;9;2
9;6;2
4;3;2
11;8;2
16;12;2
17;12;2
3;2;4
17;12;2
15;11;2
1;1;1
9;6;2
13;9;2
17;12;2
9;6;2
17;12;2
11;8;2
17;12;2
15;11;2
19;14;2
11;8;2
19;14;2
14;10;2
4;3;2
5;3;4
11;8;2
1;1;1
5;3;4
18;13;2
11;8;2
16;12;2
12;9;2
12;9;2
4;3;2
3;2;4
12;9;2
5;3;4
4;3;2
9;6;2
9;6;2
6;4;2
15;11;2
15;11;2
6;4;2
9;6;2
7;5;2
12;9;2
12;9;2
6;4;2
3;2;4
15;11;2
13;9;2
17;12;2
2;2;2
12;9;2
15;11;2
13;9;2
7;5;2
12;9;2
12;9;2
10;7;2
7;5;2
4;3;2
16;12;2
17;12;2
8;6;2
16;12;2
12;9;2
19;14;2
12;9;2
6;4;2
12;9;2
4;3;2
13;9;2
6;4;2
12;9;2
1;1;1
9;6;2
18;13;2
14;10;2
5;3;4
11;8;2
2;2;2
10;7;2
4;3;2
6;4;2
7;5;2
8;6;2
1;1;1
5;3;4
12;9;2
5;3;4
10;7;2
2;2;2
2;2;2
6;4;2
10;7;2
10;7;2
9;6;2
14;10;2
19;14;2
13;9;2
19;14;2
13;9;2
3;2;4
16;12;2
9;6;2
9;6;2
18;13;2
9;6;2
5;3;4
1;1;1
18;13;2
14;10;2
13;9;2
19;14;2
19;14;2
19;14;2
6;4;2
7;5;2
17;12;2
10;7;2
1;1;1
9;6;2
15;11;2
2;2;2
18;13;2
9;6;2
4;3;2
9;6;2
6;4;2
4;3;2
10;7;2
2;2;2
9;6;2
15;11;2
16;12;2
7;5;2
13;9;2
16;12;2
3;2;4
13;9;2
19;14;2
15;11;2
18;13;2
4;3;2
1;1;1
3;2;4
17;12;2
10;7;2
3;2;4
5;3;4
10;7;2
8;6;2
8;6;2
12;9;2
17;12;2
8;6;2
3;2;4
10;7;2
17;12;2
16;12;2
14;10;2
11;8;2
8;6;2
7;5;2
18;13;2
13;9;2
5;3;4
3;2;4
8;6;2
16;12;2
12;9;2
5;3;4
12;9;2
15;11;2
1;1;1
14;10;2
6;4;2
12;9;2
8;6;2
7;5;2
14;10;2
12;9;2
17;12;2
9;6;2
6;4;2
16;12;2
11;8;2
5;3;4
9;6;2
15;11;2
15;11;2
3;2;4
5;3;4
1;1;1
2;2;2
5;3;4
9;6;2
7;5;2
14;10;2
16;12;2
6;4;2
2;2;2
6;4;2
10;7;2
6;4;2
3;2;4
17;12;2
16;12;2
4;3;2
7;5;2
11;8;2
4;3;2
19;14;2
5;3;4
19;14;2
18;13;2
15;11;2
15;11;2
18;13;2
4;3;2
19;14;2
17;12;2
14;10;2
9;6;2
11;8;2
10;7;2
12;9;2
10;7;2
15;11;2
18;13;2
12;9;2
4;3;2
7;5;2
1;1;1
13;9;2
18;13;2
5;3;4
3;2;4
4;3;2
18;13;2
6;4;2
19;14;2
11;8;2
4;3;2
19;14;2
13;9;2
11;8;2
4;3;2
5;3;4
5;3;4
6;4;2
13;9;2
