nb_nodes;latency;overhead
13;9;18
13;9;3
13;10;4
13;9;4
13;8;4
13;9;18
13;8;18
13;9;4
13;10;21
13;9;21
13;9;1
13;9;3
13;8;3
13;9;17
13;10;4
13;9;4
13;9;3
13;8;3
13;9;19
13;8;19
13;9;20
13;8;20
13;8;3
13;9;3
13;8;3
13;10;20
13;9;20
13;9;2
13;8;1
13;10;21
13;9;21
13;9;1
13;9;18
13;9;1
13;9;18
13;10;19
13;11;6
13;10;6
13;9;6
13;8;6
13;10;20
13;9;20
13;9;19
13;8;19
13;9;4
13;9;2
13;8;2
17;11;25
17;12;4
17;11;4
17;11;24
17;12;2
17;12;4
17;11;2
17;12;26
17;13;5
17;12;5
17;12;3
17;11;3
17;12;25
17;12;3
17;11;3
17;12;6
17;11;6
17;11;24
17;12;4
17;11;1
17;11;23
17;12;4
17;12;3
17;12;25
17;12;2
17;12;3
17;12;3
17;11;3
17;11;25
17;11;3
17;13;7
17;12;7
17;11;7
17;11;24
17;11;3
17;11;2
17;12;5
17;11;5
17;12;27
17;14;7
17;13;7
17;12;7
17;12;27
17;11;27
17;13;8
17;12;8
17;11;8
17;12;27
17;11;27
17;12;4
17;11;24
17;13;7
17;12;7
17;12;3
17;11;3
17;12;26
17;12;1
17;12;4
17;11;2
17;12;27
17;12;2
17;12;2
17;11;3
17;11;2
17;12;25
17;12;3
17;12;4
17;11;25
17;12;2
17;12;4
17;12;2
2;3;3
2;3;3
2;3;1
2;2;1
5;6;9
5;6;1
5;5;1
5;5;8
5;6;3
5;5;3
5;4;6
5;4;2
5;5;6
5;4;6
5;5;7
2;4;4
2;4;1
2;3;1
2;4;4
2;4;1
2;3;1
3;4;4
3;3;4
3;3;1
3;4;3
3;3;3
3;3;2
4;5;9
4;4;9
4;3;9
4;5;8
4;5;7
4;4;7
4;3;7
4;5;8
2;4;4
2;7;7
2;7;1
2;6;1
1;1;0
1;1;1
1;1;1
1;1;0
1;1;1
1;1;1
7;7;14
7;6;14
7;5;14
7;5;9
7;8;7
7;7;7
7;6;7
7;5;7
7;5;9
7;6;4
7;5;4
7;5;2
7;5;2
7;5;10
7;5;3
7;4;3
7;5;4
7;6;10
7;5;10
7;4;10
7;5;11
7;5;1
7;4;1
7;5;5
7;6;13
7;5;13
7;4;13
7;6;4
1;1;0
1;1;1
1;1;1
1;1;1
1;1;1
11;6;17
11;10;8
11;9;8
11;7;18
11;7;17
11;10;8
11;9;8
11;7;19
11;7;18
11;6;16
11;9;20
11;10;6
11;9;6
11;8;6
11;7;6
11;7;19
11;10;9
11;9;9
11;8;9
11;7;9
11;8;21
11;10;7
11;9;7
11;8;7
11;7;7
11;7;17
11;10;9
11;9;9
11;8;9
11;7;9
11;7;16
11;10;8
11;9;8
13;11;20
13;10;20
13;11;4
13;10;4
13;9;18
13;9;3
13;9;1
13;10;5
13;9;5
13;9;17
13;9;2
13;9;1
13;9;3
13;9;3
13;9;19
13;8;19
13;10;4
13;10;1
13;10;21
13;9;21
13;11;6
13;10;6
13;9;6
13;10;21
13;9;21
13;9;3
13;10;4
13;9;4
13;10;18
13;10;4
13;9;4
13;9;2
13;10;18
13;9;2
13;10;3
13;9;3
13;10;19
13;10;2
13;10;4
13;9;4
13;9;2
13;10;19
13;10;3
13;9;3
13;9;18
13;8;18
13;9;4
13;9;1
13;12;22
13;11;22
13;10;22
13;10;2
13;10;19
13;10;3
13;9;3
13;8;3
6;6;9
6;6;4
6;5;8
6;7;6
6;7;2
6;6;2
6;5;2
6;5;9
6;5;2
6;8;12
6;7;12
6;7;12
6;6;12
6;6;11
6;5;11
6;7;7
6;6;7
6;5;7
12;10;18
12;10;2
12;9;2
12;9;3
12;11;18
12;12;6
12;11;6
12;10;6
12;9;16
12;12;8
12;11;8
12;10;8
12;10;2
12;10;18
12;10;2
12;9;2
12;9;4
12;10;18
12;10;2
12;9;2
12;9;3
12;9;16
12;10;4
12;9;4
12;9;3
12;10;19
12;10;1
12;10;4
12;9;4
12;12;22
12;11;22
12;10;22
12;9;22
12;9;17
12;12;8
12;11;8
12;10;8
12;10;19
12;10;3
12;9;3
12;8;2
12;11;16
12;12;6
12;11;6
12;10;6
12;10;19
12;10;3
12;9;3
12;9;3
7;6;11
7;7;4
7;6;4
7;7;5
7;6;5
7;5;9
7;6;5
7;5;5
7;6;10
7;8;6
7;7;6
7;7;3
7;6;3
7;6;12
7;6;2
7;5;2
7;7;5
7;6;5
7;6;13
7;6;2
7;5;2
7;7;6
7;6;6
7;5;9
7;7;6
7;6;6
19;16;30
19;15;30
19;15;1
19;15;29
19;14;1
19;15;3
19;15;1
19;15;26
19;15;2
19;16;4
19;15;4
19;15;28
19;15;2
19;16;3
19;15;3
19;15;29
19;15;3
19;14;3
19;14;2
19;14;26
19;15;3
19;15;2
19;15;3
19;15;28
19;16;4
19;15;4
19;15;1
19;14;28
19;15;3
19;16;5
19;15;5
19;15;2
19;16;28
