nb_nodes;latency;overhead
13;8;6
17;11;3
2;2;2
5;4;3
2;3;1
3;3;1
4;4;8
2;5;2
1;1;1
1;1;1
7;5;6
1;1;1
11;7;11
13;9;3
6;5;6
12;9;5
7;5;5
19;15;4
3;2;1
2;4;2
2;3;4
5;3;3
6;5;5
7;6;4
19;12;6
19;13;3
7;6;3
7;6;5
11;8;7
16;12;4
19;13;2
19;12;4
11;8;3
4;4;4
11;8;15
13;8;6
18;11;10
18;13;7
13;9;5
17;12;7
4;3;2
7;5;3
5;3;6
3;2;1
19;14;5
10;8;2
6;6;6
5;5;3
19;13;14
12;9;3
14;10;6
16;10;4
14;10;5
7;5;7
19;13;4
4;5;4
11;8;5
8;7;4
7;5;8
15;10;2
18;12;4
10;8;4
18;14;6
13;10;3
12;8;9
16;12;3
17;12;3
1;1;1
3;4;5
9;7;2
19;13;4
13;8;4
10;8;4
12;9;4
2;5;6
11;9;5
7;6;5
5;4;4
8;6;3
7;5;3
16;10;4
18;13;4
4;4;4
13;9;4
10;7;7
14;10;6
9;7;7
7;4;3
1;1;1
18;11;3
10;7;7
1;1;1
3;2;4
1;1;1
3;3;2
9;6;2
8;6;5
8;5;8
11;8;6
19;13;5
16;11;7
5;4;3
9;6;3
17;12;2
2;3;1
7;5;2
10;8;4
1;1;1
2;4;1
11;8;6
8;8;2
17;10;10
9;6;5
16;11;7
2;2;1
11;9;6
17;10;7
10;7;4
2;2;2
4;4;3
6;5;3
12;8;6
17;12;4
12;9;3
12;8;5
13;8;7
5;3;4
4;5;3
18;10;5
6;5;4
19;13;4
12;8;8
16;11;9
6;6;2
7;5;4
19;13;6
3;2;3
9;6;4
6;5;4
11;7;7
19;13;3
17;13;6
18;14;4
8;5;3
18;13;7
8;7;4
16;11;6
5;4;4
7;6;5
18;12;9
9;7;3
1;1;1
11;8;3
10;7;8
4;4;4
6;6;7
10;8;2
5;5;2
3;2;2
13;8;2
12;9;4
11;6;16
10;7;9
1;1;1
1;1;1
13;9;2
11;7;5
15;10;6
5;5;4
15;11;6
3;2;3
17;9;5
19;13;4
8;5;6
11;8;4
15;10;4
10;9;6
11;8;6
15;10;8
12;8;2
7;5;2
19;12;10
13;8;5
15;11;10
7;5;7
19;11;2
9;7;4
5;5;4
17;11;3
5;4;3
7;5;2
12;9;5
1;1;1
4;4;3
2;2;2
9;6;9
16;11;8
5;4;6
13;11;9
18;12;7
1;1;1
8;6;7
5;4;3
18;12;6
12;8;4
11;8;4
18;12;16
3;2;2
7;6;4
1;1;1
15;10;5
11;8;7
4;4;2
11;7;3
2;2;1
19;14;3
10;8;9
10;7;6
9;8;6
11;9;4
7;5;2
17;11;6
17;12;7
13;7;4
2;2;2
4;4;1
3;4;3
13;8;13
9;7;5
4;4;4
14;9;9
10;8;3
6;5;2
8;7;4
7;5;3
13;11;7
19;11;4
2;3;1
4;3;4
1;1;1
8;6;5
3;2;1
5;4;4
2;3;1
18;12;4
6;5;3
7;5;4
4;5;4
10;8;12
4;6;5
3;2;4
1;1;1
2;3;2
2;2;1
8;7;3
14;9;12
10;7;3
19;14;6
10;8;5
19;15;7
18;12;4
15;7;6
14;8;5
17;12;11
2;2;1
16;10;5
14;10;3
13;9;8
8;7;7
6;5;2
4;5;6
13;10;3
15;11;4
9;6;4
5;4;4
11;8;3
9;6;3
8;7;6
6;6;5
13;8;3
2;5;5
17;12;3
7;5;3
8;7;5
16;11;5
11;8;4
4;5;5
14;11;3
15;12;6
10;8;7
18;14;4
13;9;3
13;10;4
6;6;5
1;1;1
17;11;5
11;9;4
4;3;4
16;11;4
8;7;4
5;3;4
19;12;7
4;4;3
19;12;6
8;7;5
14;11;6
15;10;5
19;13;2
19;12;3
11;7;4
5;4;4
18;14;7
5;5;4
12;7;10
4;4;6
16;11;4
7;6;6
11;8;4
10;8;5
12;8;2
14;10;5
4;4;3
2;7;4
8;8;9
7;5;5
15;10;3
18;12;16
8;5;4
5;4;4
19;13;2
7;7;4
15;9;7
9;6;4
1;1;1
19;14;4
16;12;3
17;13;9
4;4;4
10;7;13
16;10;5
13;7;4
17;10;7
15;10;6
17;10;7
13;9;6
1;1;1
4;4;5
17;11;8
10;7;3
1;1;1
16;10;3
13;10;4
10;7;8
3;3;5
3;2;3
4;5;6
