nb_nodes;latency;overhead
18;13;31
18;13;2
18;12;2
18;14;31
18;15;6
18;14;6
18;14;34
18;13;34
18;13;3
18;15;34
18;15;4
18;14;4
18;14;31
18;15;6
18;14;6
18;14;31
18;15;6
18;14;6
18;14;33
18;15;7
18;14;7
18;13;32
18;13;2
18;13;3
18;14;30
18;15;6
18;14;6
18;14;30
18;13;30
18;14;32
18;13;3
18;12;3
18;13;30
18;13;2
18;13;2
18;13;4
18;12;4
18;14;31
18;14;30
18;15;5
18;14;5
18;14;32
18;13;32
18;14;7
18;13;7
18;12;7
18;15;36
18;14;31
18;14;31
6;6;10
6;8;4
6;7;4
6;7;3
6;6;12
6;8;6
6;7;6
6;7;2
6;6;9
6;10;8
6;9;8
6;8;8
6;8;2
6;6;8
6;7;4
6;6;4
6;5;4
6;7;7
6;6;7
6;5;4
6;6;10
6;11;10
6;10;10
6;9;10
9;8;18
9;7;18
9;6;1
9;8;17
9;7;4
9;6;4
9;10;8
9;9;8
9;9;20
9;8;20
9;7;20
9;7;4
9;9;4
9;8;16
9;8;4
9;9;3
9;8;3
9;7;3
9;8;18
9;9;2
9;10;5
9;9;5
9;9;1
9;9;22
9;8;22
9;10;5
9;9;5
9;9;21
9;8;21
9;7;21
9;9;6
9;9;1
9;7;13
9;7;3
9;7;1
9;8;4
9;7;4
9;8;16
9;7;2
7;9;13
7;8;13
7;8;3
7;7;3
7;7;2
7;7;11
7;8;3
7;8;1
7;8;11
7;7;11
7;9;6
7;8;6
7;7;6
7;8;12
7;7;12
7;8;3
7;7;3
7;7;2
7;7;9
7;6;9
7;8;5
7;8;13
7;7;13
7;9;6
7;8;6
7;7;6
7;9;14
7;8;14
7;9;5
7;8;5
7;7;5
9;8;16
9;10;11
9;9;11
9;8;11
9;7;11
9;7;14
9;10;10
9;9;10
9;8;10
9;7;10
9;8;17
9;11;9
9;10;9
9;9;9
9;8;9
9;7;13
9;11;12
9;10;12
9;9;12
9;8;12
9;8;13
9;10;13
9;9;13
9;8;13
9;7;13
9;9;17
9;7;16
9;10;20
9;11;5
9;10;5
9;9;5
9;8;5
9;8;10
4;6;7
4;8;12
4;8;2
4;7;2
4;6;2
4;5;2
4;6;10
4;6;6
1;1;0
1;1;1
1;1;1
1;1;1
1;1;1
12;8;17
12;11;8
12;10;8
12;9;8
12;12;25
12;11;25
12;10;25
12;9;25
12;10;4
12;9;22
12;10;4
12;9;4
12;8;4
12;8;17
12;9;19
12;11;8
12;10;8
12;9;8
12;9;18
12;9;2
12;9;2
12;8;2
12;10;19
12;11;3
12;11;1
12;10;1
12;8;17
12;11;10
12;10;10
12;9;10
12;9;20
12;12;6
12;11;6
12;10;6
12;9;19
12;12;8
12;11;8
12;10;8
12;10;19
12;11;4
12;12;4
12;11;4
12;9;20
12;10;3
12;10;3
12;9;3
1;1;0
1;1;1
1;1;1
1;1;1
1;1;1
5;4;7
5;6;5
5;5;5
5;5;1
5;5;10
5;3;5
5;6;7
5;5;7
5;5;2
5;4;7
5;5;4
5;4;4
5;5;3
5;5;9
5;5;3
5;4;3
5;6;5
5;5;5
3;5;7
3;4;7
3;4;3
3;3;3
3;5;5
3;4;5
3;7;8
3;6;8
3;5;9
3;4;9
3;8;7
3;7;7
3;7;2
14;11;28
14;12;4
14;10;26
14;11;6
14;10;6
14;9;6
14;11;31
14;12;6
14;11;6
14;10;6
14;11;29
14;12;5
14;11;5
14;10;5
14;12;32
14;11;29
14;12;7
