nb_nodes;latency;overhead
18;13;12
6;6;4
9;8;3
7;7;3
9;7;11
4;5;6
1;1;1
12;9;6
1;1;1
5;5;4
3;5;4
14;10;8
3;2;2
17;12;8
14;10;12
13;10;16
4;5;5
6;7;11
10;8;9
15;9;4
4;4;11
9;6;8
2;4;8
17;12;11
6;6;6
9;7;13
15;10;6
17;11;13
15;9;4
12;8;12
19;11;32
8;8;3
3;2;1
9;6;6
6;5;6
9;6;6
2;9;8
13;9;5
8;8;6
13;9;13
3;2;4
11;8;12
11;10;5
2;3;1
12;9;5
2;6;11
16;10;21
15;11;9
18;12;6
7;7;6
10;8;7
1;1;1
10;9;8
16;11;9
11;10;7
16;11;13
6;7;7
10;9;8
6;5;6
19;14;12
8;8;9
6;7;9
10;7;6
16;10;10
4;8;5
3;3;2
10;8;5
11;8;11
12;10;14
11;7;12
9;8;6
17;13;28
8;7;7
14;11;8
14;9;6
6;5;5
6;8;3
15;10;4
19;12;15
15;11;3
17;11;10
11;8;7
8;7;5
17;11;31
17;14;18
2;2;6
2;8;4
13;10;14
1;1;1
2;7;5
3;5;6
4;5;8
3;2;2
6;6;10
12;8;16
19;12;20
19;13;8
9;9;7
10;7;8
12;8;6
13;9;12
14;10;8
5;4;3
8;9;8
6;6;6
3;2;5
17;12;7
10;10;9
11;9;8
5;5;8
11;8;4
10;8;7
10;9;8
12;8;8
11;7;7
1;1;1
3;2;3
1;1;1
2;12;6
1;1;1
15;10;14
18;12;21
6;5;4
19;13;9
18;12;9
11;8;3
1;1;1
18;15;10
8;8;5
14;10;9
18;13;15
7;5;5
12;11;10
14;11;6
19;14;15
2;8;8
7;7;6
11;8;10
16;11;9
9;8;4
6;7;6
1;1;1
13;8;10
8;8;12
4;3;4
10;7;6
19;14;7
14;12;6
2;8;10
18;10;24
15;9;21
8;6;8
17;11;12
7;5;7
6;6;8
15;12;6
15;11;4
6;6;4
14;10;18
4;6;8
5;4;2
8;7;9
2;11;3
16;13;8
2;6;4
5;5;5
1;1;1
17;12;7
9;6;3
5;5;7
15;12;9
19;12;6
14;10;7
10;7;10
13;10;4
8;9;11
14;11;4
8;6;6
9;7;4
5;3;5
13;10;12
3;4;1
16;13;10
18;12;13
12;10;19
11;9;7
12;11;5
2;13;1
7;5;7
19;13;5
12;9;9
3;6;4
13;10;10
10;6;7
8;7;4
5;4;2
17;12;12
17;10;13
4;8;9
8;6;10
5;3;4
12;10;9
11;9;15
4;5;5
19;10;20
16;12;20
12;9;9
8;5;11
17;12;6
2;3;7
10;10;5
3;2;6
2;15;8
15;10;15
9;8;3
2;21;8
5;6;6
4;4;2
13;10;3
1;1;1
2;6;3
19;15;15
1;1;1
6;8;7
19;11;13
8;6;5
4;6;6
11;7;14
10;8;4
17;11;19
13;10;7
13;9;11
15;11;18
5;4;4
19;15;8
7;7;4
16;10;16
7;6;6
16;11;8
9;7;12
5;4;2
2;13;13
2;5;1
12;12;7
16;11;11
12;9;4
2;3;4
13;9;6
17;11;10
3;2;1
2;4;6
14;12;6
4;5;5
18;13;19
18;13;7
18;13;7
1;1;1
4;4;11
5;6;3
12;9;10
1;1;1
13;11;10
15;8;19
19;12;10
15;12;7
14;10;11
5;4;4
13;9;12
9;7;8
10;9;15
7;7;11
19;12;15
9;6;12
3;6;3
5;8;5
6;8;5
8;7;8
1;1;1
1;1;1
8;9;7
2;8;3
4;7;9
2;4;4
12;9;8
13;9;6
15;11;14
4;6;5
17;10;11
17;12;15
14;11;4
18;11;7
14;10;7
12;9;10
2;4;4
4;5;7
2;4;3
4;6;3
1;1;1
7;7;11
7;6;6
6;5;6
3;4;2
13;11;9
10;9;10
11;9;6
8;6;8
6;6;8
18;12;14
18;10;27
8;8;6
3;3;4
3;2;6
5;4;1
6;7;6
12;10;15
3;3;2
7;6;4
8;8;3
11;10;4
18;14;23
12;8;9
1;1;1
16;13;18
9;6;7
19;13;15
19;11;21
1;1;1
9;6;7
3;2;1
9;7;4
14;9;19
3;4;5
17;12;11
16;11;11
9;7;9
4;5;8
5;5;2
17;12;9
4;6;9
15;10;18
12;9;10
12;8;12
10;9;13
19;13;7
15;11;4
3;3;2
18;12;4
18;13;5
17;11;15
3;2;1
9;7;4
5;5;2
7;7;5
1;1;1
7;5;4
5;7;2
10;10;8
18;13;10
18;11;26
7;6;6
15;11;10
12;10;14
16;12;6
19;14;7
6;8;4
11;9;4
16;14;22
6;5;9
5;4;5
15;9;8
6;8;5
17;11;9
10;9;14
5;5;3
18;13;13
13;8;17
3;2;4
17;11;10
9;8;10
7;4;3
10;8;4
12;8;11
5;3;3
19;12;5
19;13;4
7;6;5
6;6;8
16;13;8
4;5;3
4;4;8
4;5;8
18;11;17
13;10;10
18;13;21
8;8;5
4;5;5
2;5;9
19;12;17
8;7;7
9;6;3
17;11;18
19;13;24
3;2;2
9;6;10
18;12;15
11;9;9
7;8;8
16;11;16
9;8;4
10;8;12
12;9;6
18;12;13
6;5;8
12;10;19
17;9;18
18;13;22
15;10;9
14;9;5
10;8;13
5;7;5
18;12;9
19;14;10
2;14;8
3;2;1
16;10;10
10;7;11
19;12;14
19;16;25
4;5;4
17;13;16
11;9;8
13;10;6
13;10;9
16;11;8
17;12;7
6;5;8
1;1;1
6;6;6
15;11;9
9;8;9
8;7;6
15;10;6
9;8;3
7;5;4
6;6;2
19;14;12
1;1;1
4;7;4
12;9;18
6;7;4
9;9;7
6;9;5
14;11;10
15;11;10
1;1;1
15;11;7
7;7;4
1;1;1
6;5;6
14;9;4
17;11;11
19;12;19
5;5;8
2;3;1
9;9;10
16;12;9
9;7;7
17;12;6
7;6;4
10;10;12
16;9;6
5;4;4
4;5;1
7;7;7
3;5;6
19;12;6
12;9;3
3;2;2
18;14;13
10;7;17
19;14;29
7;6;6
12;9;10
6;7;9
19;15;9
3;3;3
11;9;5
1;1;1
16;13;12
11;10;8
10;8;15
2;6;4
14;10;14
17;9;10
15;10;6
1;1;1
14;10;20
12;11;12
10;8;15
3;4;4
19;12;25
2;9;1
16;12;11
15;12;12
17;11;9
19;11;12
5;5;3
4;7;4
5;4;5
9;8;5
4;4;4
12;9;16
16;10;14
7;5;5
14;11;8
11;8;6
3;5;7
19;12;10
14;10;10
14;10;13
4;6;7
9;8;7
6;8;8
19;12;3
12;10;4
11;9;8
5;4;8
12;8;10
14;10;5
11;8;12
8;5;5
19;12;18
13;11;12
8;8;6
19;12;11
1;1;1
8;8;13
12;8;10
5;4;4
6;6;5
4;4;5
14;8;7
9;7;6
3;8;7
18;11;8
3;2;4
1;1;1
2;6;3
10;9;14
2;4;5
17;11;5
12;9;5
16;14;9
12;9;7
11;8;8
16;12;6
9;8;9
5;5;8
16;12;15
1;1;1
1;1;1
10;8;15
2;6;1
15;10;5
7;7;4
2;13;4
7;6;5
15;12;6
14;9;10
10;7;15
15;10;8
7;7;12
12;10;5
17;10;10
9;8;9
16;10;7
10;7;13
10;9;16
15;7;9
9;7;7
18;12;5
5;4;12
17;11;17
5;5;11
16;11;5
12;9;8
13;10;8
17;11;8
8;7;11
18;12;4
19;11;13
17;11;17
8;6;7
16;11;13
13;9;8
19;13;9
17;14;20
12;11;8
14;9;9
13;9;10
1;1;1
16;12;7
7;6;6
5;5;4
4;9;5
14;9;6
13;9;5
15;11;16
17;11;18
17;12;8
16;12;12
18;16;12
10;7;9
3;4;7
10;6;6
2;6;11
15;10;10
17;11;10
10;8;8
18;11;16
12;9;8
17;12;19
12;10;5
9;8;14
13;11;14
18;11;4
2;7;1
9;6;7
4;6;6
9;6;4
8;6;5
2;5;1
1;1;1
11;7;4
3;7;4
13;11;9
13;10;8
10;9;7
3;3;2
9;7;10
12;9;11
19;10;19
9;8;4
12;10;18
16;11;11
11;9;4
18;12;18
18;13;15
17;12;24
7;5;6
9;9;10
18;11;25
6;6;5
11;8;9
9;7;6
2;11;16
9;6;8
13;9;4
15;10;5
13;9;18
13;11;9
15;10;15
10;8;7
7;6;8
19;12;3
17;11;7
18;11;9
2;6;3
11;9;5
19;11;6
17;11;10
6;7;3
19;13;7
6;6;6
13;8;20
11;7;9
15;10;8
12;10;11
10;8;9
16;11;11
1;1;1
11;9;7
14;11;18
7;6;9
14;11;15
3;4;3
2;14;9
6;5;7
4;4;2
13;8;9
8;8;7
17;12;6
8;8;5
4;6;4
4;5;5
12;9;6
14;10;8
3;3;1
17;9;30
9;7;12
5;7;4
14;10;5
15;10;18
15;10;7
18;11;6
15;11;7
10;8;2
3;2;2
8;6;8
15;9;13
15;10;8
15;10;8
5;4;4
16;11;8
15;9;13
2;5;2
15;10;11
5;5;3
12;7;14
13;10;13
1;1;1
2;3;3
7;6;7
6;6;11
3;4;5
7;7;3
18;11;13
16;11;9
5;5;5
2;12;3
12;10;4
10;9;5
15;10;8
8;10;4
14;12;4
18;13;4
6;5;5
17;12;8
6;6;3
17;9;11
3;3;2
5;4;2
19;11;8
14;11;9
18;12;11
2;9;1
14;9;8
18;12;10
15;13;13
1;1;1
18;13;4
7;6;7
10;7;8
5;4;6
2;4;2
3;3;4
11;7;8
12;8;13
7;5;4
10;8;7
10;7;5
4;8;6
19;12;11
18;13;13
19;13;12
9;7;6
2;9;1
1;1;1
13;10;11
13;9;18
5;5;5
4;7;8
13;10;8
19;14;16
7;6;4
7;6;8
7;5;4
4;6;10
9;7;5
2;12;6
11;8;8
17;11;7
1;1;1
3;8;3
9;6;7
9;7;4
16;13;22
12;8;6
10;8;13
17;14;6
14;12;8
15;10;13
12;10;6
2;5;1
4;4;12
4;4;4
3;4;5
2;17;7
1;1;1
16;13;21
18;14;10
17;12;12
10;9;5
8;7;9
6;6;6
15;10;22
1;1;1
