nb_nodes;latency;overhead
11;4;22
11;6;23
11;5;23
11;4;20
11;5;13
11;5;9
11;5;9
11;4;9
11;4;23
11;5;16
11;5;9
11;4;22
11;5;14
11;5;8
11;5;7
11;4;17
11;6;23
11;5;23
11;5;9
11;4;24
11;5;16
11;5;7
11;5;7
11;4;7
11;4;20
11;6;19
11;5;19
11;5;8
11;4;22
11;6;20
11;5;20
11;4;22
11;6;24
11;5;24
11;4;24
11;4;21
11;6;20
11;6;5
11;4;27
11;6;22
11;6;4
11;5;4
9;4;15
9;5;14
9;4;14
9;3;14
9;4;18
9;5;12
9;4;12
9;4;5
9;5;13
9;5;19
9;5;8
9;4;8
9;4;4
9;5;14
9;4;14
9;4;7
9;4;6
9;4;6
9;5;13
9;4;18
9;5;11
9;5;5
9;4;5
9;4;15
9;4;8
9;5;7
9;5;8
9;3;15
9;5;18
9;4;18
9;4;8
9;5;10
9;4;16
9;5;12
9;4;12
9;4;7
9;5;12
9;4;21
9;5;11
9;6;8
9;5;8
19;4;43
19;6;38
19;5;38
19;4;38
19;5;22
19;4;42
19;5;25
19;5;16
19;5;11
19;5;16
19;4;37
19;6;38
19;5;38
19;5;14
19;5;14
19;4;39
19;5;27
19;5;11
19;5;14
19;5;17
19;4;37
19;6;39
19;5;39
19;5;16
19;5;15
19;4;45
19;5;29
19;4;29
19;4;13
19;5;25
19;4;44
19;5;25
19;5;13
19;5;15
19;5;11
19;4;36
19;6;39
19;5;39
19;5;14
19;5;14
19;4;37
19;6;41
19;5;41
19;5;15
19;5;12
19;5;46
19;6;27
19;5;27
19;6;22
19;5;22
19;4;39
19;5;29
19;5;16
19;5;12
19;5;12
19;4;38
19;5;26
19;5;9
19;5;12
19;5;15
19;5;51
19;6;28
19;5;28
19;5;16
19;5;12
19;4;37
19;6;45
19;5;45
19;5;14
19;5;14
19;4;38
19;5;29
19;5;13
19;5;14
19;5;17
19;5;48
19;6;25
19;5;25
19;5;13
19;5;14
19;4;43
19;5;25
19;5;14
19;5;14
19;5;14
19;4;38
19;5;24
19;4;24
19;5;23
19;5;14
19;4;39
19;6;41
19;5;41
19;5;11
19;5;15
3;6;6
3;8;10
3;8;1
3;7;1
3;6;1
3;5;1
15;4;30
15;6;31
15;5;31
15;5;11
15;6;20
15;4;31
15;6;28
15;5;28
15;4;28
15;6;30
15;5;43
15;6;16
15;5;16
15;5;11
15;6;19
15;5;37
15;6;20
15;5;20
15;5;6
15;4;31
15;6;30
15;5;30
15;5;10
15;6;23
15;4;31
15;6;31
15;5;31
15;5;9
15;6;21
15;4;30
15;6;28
15;5;28
15;5;11
15;4;34
