nb_nodes;latency;overhead
14;3;25
14;4;20
14;5;23
14;4;23
14;4;10
14;3;22
14;4;20
14;4;10
14;5;19
14;4;19
14;3;22
14;5;35
14;5;12
14;4;12
14;3;19
14;5;32
14;5;11
14;4;11
14;4;12
14;4;32
14;4;11
14;4;11
14;5;23
14;3;21
14;4;19
14;5;23
14;4;23
14;4;33
14;4;10
14;4;10
14;4;11
14;4;31
14;4;13
14;5;18
14;5;11
14;4;31
14;5;16
14;5;12
14;5;12
14;4;12
14;4;32
14;4;12
14;4;9
14;4;10
14;4;35
14;5;20
14;4;20
14;4;10
14;4;29
14;5;22
14;4;22
14;4;9
14;4;32
14;4;11
14;4;11
14;4;10
14;4;36
14;4;10
14;4;9
14;4;11
15;4;37
15;4;9
15;4;12
15;4;11
15;4;12
15;3;27
15;4;19
15;4;11
15;4;12
15;4;14
15;4;33
15;4;13
15;5;19
15;4;19
15;4;12
15;4;37
15;4;9
15;5;22
15;4;22
15;4;12
15;4;33
15;4;10
15;5;25
15;4;25
15;4;11
15;4;33
15;4;13
15;4;12
15;4;11
15;4;12
15;3;23
15;4;20
15;4;11
15;4;10
15;4;13
15;3;24
15;4;21
15;5;26
15;4;26
15;4;8
15;4;35
15;4;15
15;4;11
15;4;12
15;4;11
15;3;26
15;4;23
15;5;24
15;4;24
15;4;10
15;4;35
15;4;10
15;5;20
15;5;14
15;4;14
15;3;25
15;4;24
15;5;18
15;4;18
15;4;14
15;3;24
15;4;21
15;5;25
15;4;25
15;4;11
15;4;31
15;4;9
15;5;23
15;4;23
15;4;13
15;3;27
15;4;21
15;4;11
15;4;12
15;4;12
6;3;10
6;3;4
6;4;9
6;4;4
6;4;4
6;3;11
6;4;8
6;5;7
6;4;7
6;4;6
6;4;12
6;4;5
6;4;4
6;4;6
6;4;4
6;3;10
6;4;8
6;4;5
6;4;6
6;4;4
6;4;15
6;3;15
6;4;11
6;4;4
6;4;6
6;3;9
6;4;7
6;4;6
6;3;6
17;4;37
17;4;15
17;4;11
17;4;14
17;3;25
17;4;28
17;4;13
17;4;11
17;3;29
17;4;28
17;4;13
17;4;13
17;3;26
17;4;25
17;4;12
17;4;15
17;3;26
17;4;27
17;4;11
17;4;14
17;4;36
17;4;13
17;4;13
17;4;13
17;4;41
17;4;14
17;4;16
17;4;13
17;4;36
17;4;10
17;4;16
17;4;15
17;3;26
17;4;21
17;4;14
17;4;13
17;3;24
17;4;29
17;4;10
17;4;12
17;3;26
17;4;26
17;4;16
17;4;14
17;3;27
17;4;28
17;4;11
17;4;15
17;3;15
17;4;41
17;4;11
17;4;13
17;4;14
17;3;28
17;4;26
17;4;11
17;4;14
17;3;27
17;4;26
17;4;12
17;4;13
17;4;40
17;4;10
17;4;12
17;4;14
17;3;27
17;4;27
17;4;14
17;4;13
3;4;7
3;4;2
3;3;2
3;2;2
3;3;4
3;5;5
3;4;5
3;4;3
3;3;3
3;3;4
3;5;6
3;4;6
3;3;6
3;3;3
9;3;13
9;4;12
9;4;5
9;4;8
9;4;22
9;4;7
9;4;6
9;4;7
9;3;16
9;4;15
9;4;8
9;4;7
9;3;15
9;4;13
9;4;6
9;4;8
9;3;14
9;4;14
9;4;7
9;4;8
9;3;15
9;4;14
9;4;8
9;4;8
9;3;13
9;4;14
9;4;6
9;4;8
9;3;8
9;4;24
9;4;6
9;4;9
9;4;9
9;3;9
9;4;21
9;4;5
9;4;8
9;4;9
5;3;8
5;4;9
5;3;9
5;3;3
5;3;9
5;3;4
5;4;7
5;3;7
5;4;10
5;4;3
5;4;5
5;3;5
5;3;2
5;4;8
5;4;4
5;3;4
5;3;3
5;3;7
5;3;4
5;4;5
5;4;5
15;3;22
15;5;34
15;4;34
15;4;10
15;4;13
15;4;32
15;4;12
15;4;9
15;4;11
15;4;11
15;4;31
15;5;22
15;4;22
15;4;12
15;4;13
15;3;22
15;4;27
15;3;27
15;4;25
15;4;8
15;3;27
15;4;22
15;4;9
15;4;11
15;4;9
15;3;28
15;4;18
15;4;12
15;4;12
15;4;10
15;3;25
15;5;34
15;4;34
15;4;7
15;4;12
15;3;24
15;5;33
15;4;33
15;4;11
15;3;24
15;5;33
15;4;33
15;4;12
15;4;12
15;4;39
15;4;12
15;4;10
15;4;11
15;4;28
15;4;15
15;4;9
15;4;10
15;4;14
15;4;35
15;4;12
15;4;13
15;4;8
15;4;14
15;3;20
15;5;31
15;5;14
15;4;14
15;4;10
15;4;29
15;5;24
15;4;24
15;4;11
15;4;13
15;4;35
15;5;24
15;4;24
15;4;12
15;4;10
16;4;35
16;4;15
16;5;20
16;4;20
16;4;14
16;4;37
16;4;7
16;4;13
16;4;13
16;4;37
16;4;14
16;4;13
16;4;11
16;3;22
16;4;22
16;5;28
16;4;28
16;4;33
16;4;13
16;5;27
16;4;27
16;4;36
16;4;13
16;5;21
16;4;21
16;4;33
16;4;15
16;5;22
16;4;22
16;3;26
16;4;24
16;4;13
16;4;12
16;3;25
16;4;26
16;5;23
16;4;23
16;4;35
16;4;13
16;4;13
16;4;12
16;4;40
16;4;12
16;4;15
16;4;10
16;3;28
16;4;24
16;5;27
16;4;27
16;3;25
16;4;21
16;4;13
16;4;14
16;4;11
16;4;37
16;4;13
16;5;22
16;4;22
16;3;24
16;4;27
16;5;22
16;4;22
16;4;38
16;5;22
16;5;13
