nb_nodes;latency;overhead
2;3;2
2;2;2
2;2;1
2;2;1
2;2;1
2;3;2
2;2;2
2;2;1
2;2;1
2;2;1
2;3;2
2;2;2
2;2;1
2;2;1
2;2;1
2;3;2
2;2;2
2;2;1
2;2;1
2;2;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
18;27;26
18;26;26
18;26;1
18;26;1
18;26;1
4;6;5
4;5;5
4;5;1
4;5;1
4;5;1
4;6;5
4;5;5
4;5;1
4;5;1
4;5;1
4;6;5
4;5;5
4;5;1
4;5;1
4;5;1
4;6;5
4;5;5
4;5;1
4;5;1
4;5;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
19;28;27
19;27;27
19;27;1
19;27;1
19;27;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
10;15;14
10;14;14
10;14;1
10;14;1
10;14;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
16;23;1
16;23;1
16;23;1
16;24;23
16;23;23
