nb_nodes;latency;overhead
16;15;1
4;4;4
9;8;4
8;8;5
4;4;2
15;14;5
5;4;2
9;7;7
17;13;4
3;3;5
13;11;3
18;17;9
6;6;4
7;6;3
12;12;3
17;18;6
3;2;1
6;6;6
8;8;3
11;9;4
9;6;3
7;4;4
7;8;1
14;12;6
18;16;3
4;5;2
4;5;3
14;12;3
4;5;4
16;14;2
9;8;1
13;12;3
13;10;5
8;10;2
18;14;3
12;10;8
17;15;3
19;16;7
5;5;2
19;15;4
7;5;2
19;15;6
3;2;2
1;1;1
3;3;2
5;5;1
19;17;3
3;2;1
12;12;3
9;6;4
3;3;1
6;7;2
16;15;6
17;14;4
14;12;4
12;9;7
4;4;4
15;14;7
3;3;3
5;4;1
16;14;6
3;2;1
14;13;6
10;7;2
8;6;7
15;14;3
4;4;7
11;11;2
6;5;3
13;10;7
15;10;10
1;1;1
13;9;3
13;11;3
1;1;1
12;11;5
13;12;4
18;16;5
19;15;7
18;16;6
14;13;5
17;16;3
16;16;7
2;2;1
13;11;3
11;8;1
11;8;4
11;8;4
14;13;3
16;15;2
19;15;6
15;13;10
14;12;4
12;10;5
8;7;6
4;5;4
3;2;2
15;13;2
14;14;4
11;9;5
2;4;2
19;15;6
19;16;3
9;8;4
9;7;9
14;14;4
18;17;3
9;6;6
13;11;3
8;7;4
6;5;2
17;12;10
17;15;3
14;12;4
5;5;5
17;14;9
2;6;7
8;8;7
7;7;2
14;12;1
7;7;6
3;2;1
1;1;1
10;9;7
2;3;3
16;15;8
12;9;5
9;8;2
14;12;3
5;6;3
8;8;5
1;1;1
14;14;7
11;12;4
15;11;3
17;13;13
14;11;4
17;12;2
16;14;9
13;12;3
11;9;3
13;12;3
18;15;4
17;17;2
14;12;6
19;17;2
13;14;5
1;1;1
19;16;5
13;10;7
9;7;5
1;1;1
6;6;5
11;10;3
19;19;4
12;10;5
14;15;5
10;9;5
10;10;3
10;10;6
1;1;1
18;17;2
17;14;4
10;10;3
18;15;7
1;1;1
2;3;1
6;6;3
16;16;3
13;12;2
13;11;4
11;8;6
3;2;2
19;10;3
16;16;6
8;5;4
8;6;7
2;4;1
15;12;6
6;6;6
5;4;3
17;17;4
4;6;3
19;18;3
16;12;5
15;14;8
10;8;2
7;5;6
1;1;1
16;14;5
13;11;5
2;3;1
4;5;5
11;10;5
1;1;1
8;6;5
17;12;3
7;5;5
1;1;1
11;9;4
12;11;2
19;16;2
17;15;4
2;6;5
4;4;2
12;12;3
3;2;2
10;9;3
2;3;1
14;13;4
10;8;5
16;17;3
9;7;3
9;11;1
2;4;4
11;10;3
16;13;3
15;11;5
15;14;2
9;9;2
14;13;4
6;6;7
16;14;3
15;12;15
13;11;5
10;10;3
17;16;2
1;1;1
3;4;2
12;11;3
18;15;3
14;13;3
3;2;2
7;7;1
2;4;5
