nb_nodes;latency;overhead
9;9;13
9;11;5
9;10;5
9;9;5
9;9;13
9;11;5
9;10;5
9;9;5
9;9;12
9;10;13
9;9;12
9;9;13
9;11;6
9;10;6
9;9;6
9;8;6
9;9;14
9;10;5
9;9;5
9;8;5
9;10;15
9;9;12
16;12;27
16;12;10
16;11;10
16;12;29
16;14;8
16;13;8
16;12;2
16;14;32
16;12;28
16;13;7
16;12;7
16;12;4
16;11;4
16;12;31
16;11;5
16;10;5
16;12;29
16;14;6
16;13;6
16;11;29
16;14;7
16;13;7
16;12;31
16;13;5
16;12;5
16;11;28
16;14;11
16;13;11
16;12;11
16;11;31
16;11;6
16;10;6
16;12;29
16;13;6
16;12;6
16;12;4
16;11;4
16;12;31
16;11;27
16;13;8
16;12;8
16;12;3
16;11;27
16;13;7
16;13;1
16;13;31
16;11;3
16;10;3
16;12;28
16;13;7
16;12;7
16;12;3
17;17;28
17;16;28
17;15;28
17;14;28
17;14;1
17;17;26
17;17;26
17;16;2
17;15;2
17;14;2
17;16;26
17;17;3
17;16;3
17;15;3
17;14;3
17;16;25
17;16;2
17;15;2
17;14;2
17;17;26
17;17;26
17;17;2
17;17;27
17;17;1
17;16;1
17;15;1
17;17;27
17;18;28
17;17;28
17;16;28
17;15;28
17;17;27
17;17;1
17;16;1
17;15;1
17;16;25
17;17;25
17;17;3
17;16;3
17;15;3
17;14;3
17;16;26
17;17;2
17;16;2
17;15;2
17;17;27
17;18;28
17;17;28
17;16;28
17;15;28
17;17;25
17;16;2
17;15;1
17;14;1
17;14;1
19;16;29
19;15;29
19;15;28
19;15;2
19;16;5
19;15;28
19;16;5
19;15;5
19;16;5
19;15;5
19;15;27
19;15;3
19;16;4
19;15;28
19;14;2
19;14;3
19;17;33
19;16;33
19;15;33
19;15;27
19;15;2
19;16;4
19;16;3
19;15;1
19;14;28
19;14;2
19;15;4
19;15;27
19;14;2
19;15;3
19;16;4
19;15;28
19;15;2
19;17;31
19;16;31
19;15;31
19;16;29
19;15;29
19;15;3
19;14;27
19;15;3
19;16;4
19;14;27
19;17;7
19;16;7
19;15;28
19;16;5
19;15;5
19;15;28
19;15;27
19;15;2
19;15;3
19;15;28
19;15;3
19;15;2
19;15;27
19;14;3
19;15;2
7;7;9
7;7;9
7;8;4
7;6;9
7;7;2
7;7;8
7;9;6
7;8;6
7;7;6
7;8;10
7;8;3
7;7;3
7;6;3
7;6;3
7;7;8
7;7;3
7;7;1
7;7;8
7;8;5
7;7;5
7;6;5
12;13;25
12;12;25
12;11;25
12;10;25
12;10;20
12;12;6
12;11;6
12;10;6
12;12;23
12;11;2
12;10;2
12;10;3
12;9;18
12;11;9
12;10;9
12;9;9
12;10;19
12;11;7
12;10;7
12;9;7
12;11;20
12;12;8
12;11;8
12;10;8
12;11;19
12;11;6
12;10;6
12;10;1
12;10;18
12;11;6
12;10;6
12;9;6
12;11;19
12;10;5
12;9;5
12;10;2
12;11;20
12;11;4
12;10;4
12;11;5
12;11;21
12;11;4
12;10;4
12;11;2
12;12;22
12;11;5
12;10;5
12;9;5
12;10;5
10;13;20
10;12;20
10;11;4
10;10;1
10;9;1
10;11;18
10;11;1
10;10;1
10;11;16
10;11;4
10;10;4
10;12;19
10;11;19
10;10;19
10;12;20
10;11;20
10;10;20
10;13;21
10;12;21
10;11;21
10;11;15
10;12;6
10;11;6
10;12;19
10;11;19
10;10;19
10;10;15
10;12;4
10;11;4
10;12;19
10;11;19
10;10;19
13;10;21
13;9;21
13;8;3
13;8;2
13;10;20
13;9;20
13;8;2
13;9;5
13;10;22
13;9;22
13;10;6
13;9;6
13;11;22
13;10;22
13;9;5
13;11;4
13;10;20
13;9;20
13;10;5
13;12;7
13;11;24
13;10;24
13;10;4
13;9;4
13;14;8
13;10;19
13;9;19
13;8;2
13;13;10
13;10;22
13;9;22
13;10;5
13;9;5
13;10;20
13;9;20
13;8;2
13;8;3
13;11;15
13;10;15
13;9;5
13;8;5
13;10;21
13;9;21
13;10;5
13;9;5
13;14;8
13;10;20
13;9;20
13;9;6
13;8;6
13;10;21
13;9;21
13;8;21
13;9;6
7;8;15
7;7;15
7;7;12
7;7;3
7;7;1
7;6;1
7;9;14
7;8;14
7;7;14
7;6;14
7;11;15
7;10;15
7;9;15
7;8;15
7;7;15
7;8;11
7;7;11
7;9;5
7;8;5
7;8;13
7;7;13
7;9;4
7;8;4
7;7;11
7;7;1
7;7;1
7;6;1
13;14;19
13;14;2
13;14;2
13;13;2
13;12;2
13;13;19
13;15;4
13;14;4
13;13;4
13;12;4
13;14;20
13;15;3
13;14;3
13;13;3
13;14;19
13;15;3
13;14;3
13;13;3
13;14;20
13;15;4
13;14;4
13;13;4
13;12;4
13;15;21
13;14;1
13;15;21
13;14;1
13;13;1
13;12;1
13;12;1
13;14;19
13;15;4
13;14;4
13;13;4
13;12;4
13;14;20
13;15;3
13;14;3
13;13;3
13;13;19
13;14;19
13;14;2
13;14;1
13;13;1
13;14;19
13;16;23
13;15;23
13;14;23
13;13;23
13;12;23
2;6;5
2;5;5
2;31;39
2;30;39
2;29;39
2;32;31
2;31;31
2;31;1
2;30;1
2;29;1
19;18;38
19;17;38
19;16;38
19;15;38
19;14;38
19;15;34
19;15;2
19;16;33
19;15;33
19;15;34
19;15;3
19;16;33
19;15;33
19;16;4
19;15;4
19;14;4
19;17;36
19;16;36
19;16;3
19;15;3
19;14;3
19;16;35
19;15;35
19;17;34
19;16;34
19;15;3
19;17;37
19;16;37
19;17;35
19;16;35
19;18;37
19;17;37
19;16;37
19;15;37
19;14;37
19;17;35
19;16;35
19;15;3
19;17;36
19;16;36
19;16;1
19;15;1
19;14;1
19;17;38
19;16;38
19;16;3
19;15;3
19;14;3
4;5;6
4;10;12
4;9;12
4;8;12
4;7;12
4;7;8
4;6;9
4;10;7
4;9;7
4;8;7
4;7;7
4;10;14
13;10;20
13;9;20
13;12;20
13;11;20
13;12;2
13;13;21
13;12;21
13;11;21
13;12;21
13;11;21
13;11;1
13;12;21
13;11;21
13;12;2
13;11;21
13;10;21
13;9;21
13;12;6
13;11;6
13;11;20
13;10;20
13;9;20
13;12;20
13;11;20
13;11;1
13;11;22
13;10;22
13;9;22
13;12;21
13;11;21
13;12;2
13;14;22
13;13;22
13;12;22
13;11;21
13;10;21
13;9;21
13;10;18
13;9;18
13;11;4
3;8;7
