nb_nodes;latency;overhead
9;9;9
16;11;8
17;15;12
19;15;9
7;6;4
12;9;6
10;10;11
13;10;5
7;6;7
13;12;6
2;29;20
19;14;16
4;7;10
13;10;11
3;6;2
7;6;8
10;9;11
10;8;7
11;8;12
9;7;7
10;10;5
6;9;9
3;2;4
12;9;4
13;11;18
5;5;2
16;12;15
14;12;11
11;9;4
2;10;4
2;9;13
19;14;3
10;11;5
9;7;6
13;9;24
18;15;6
1;1;1
17;16;6
17;18;4
2;6;3
12;11;6
9;8;7
14;13;20
16;17;20
11;10;4
8;7;11
5;4;5
5;6;8
14;11;12
8;7;9
9;8;9
5;6;4
4;4;1
8;9;11
12;12;6
12;10;9
15;9;19
1;1;1
14;12;8
10;8;5
7;6;11
8;9;4
4;5;8
6;6;7
12;10;3
9;8;3
3;2;3
11;10;4
15;10;6
6;8;6
17;11;8
7;7;5
19;13;11
5;6;3
15;15;7
14;15;5
10;9;9
16;12;6
4;4;4
10;8;4
1;1;1
6;7;10
3;2;1
13;10;5
9;8;5
14;12;9
8;8;6
8;8;13
4;4;1
16;12;5
14;13;17
17;15;20
11;8;5
17;13;10
3;3;2
13;7;5
19;16;3
17;13;9
4;7;4
14;10;12
3;2;3
7;7;3
9;9;7
15;12;5
6;6;4
6;5;10
5;6;9
9;7;8
9;7;13
16;10;12
3;3;3
16;13;7
6;7;2
13;11;4
10;8;8
11;8;5
19;14;11
16;14;12
6;6;3
2;9;2
16;14;7
4;4;9
15;13;24
17;13;16
6;6;7
18;13;6
18;13;22
11;11;6
12;13;8
9;8;13
1;1;1
18;15;7
9;9;14
16;15;4
14;11;16
13;11;13
4;6;3
17;13;5
6;6;2
17;11;11
6;6;5
11;8;15
19;17;6
11;10;13
19;15;11
19;14;14
6;6;7
17;14;6
19;15;16
9;8;3
15;12;5
17;14;14
7;7;5
15;11;14
18;13;23
19;13;16
8;8;6
8;8;8
1;1;1
18;13;5
16;12;23
12;9;6
5;6;3
19;15;10
11;11;18
19;12;23
13;10;15
4;7;3
10;9;10
2;4;3
17;14;12
18;15;6
13;11;6
5;5;7
9;10;12
11;9;4
4;6;10
2;6;3
2;9;5
9;7;5
12;11;8
1;1;1
2;7;5
18;14;11
18;13;3
1;1;1
13;11;7
11;10;6
9;8;8
17;10;16
8;8;16
5;4;3
2;10;1
2;10;1
19;12;23
8;7;10
10;10;11
9;7;11
14;13;13
11;10;8
17;15;13
4;7;6
5;5;5
6;5;8
18;11;19
3;2;4
3;3;2
12;10;17
10;8;13
7;6;5
10;9;11
6;7;2
19;16;6
8;9;3
18;15;6
10;9;7
9;7;6
14;10;7
13;10;4
7;5;10
14;11;9
14;13;13
13;11;7
5;4;4
4;8;4
7;6;5
12;8;16
11;9;10
8;6;5
7;7;5
4;6;4
2;4;3
18;12;7
12;9;14
19;11;20
10;9;3
17;13;21
2;5;4
2;5;3
1;1;1
