nb_nodes;latency;overhead
6;3;6
6;3;3
6;3;3
6;3;3
6;3;3
6;3;6
6;3;3
6;3;3
6;3;3
6;3;3
6;3;6
6;3;3
6;3;3
6;3;3
6;3;3
6;3;6
6;3;3
6;3;3
6;3;3
6;3;3
6;3;6
6;3;3
6;3;3
6;3;3
6;3;3
6;3;6
6;3;3
6;3;3
6;3;3
6;3;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
12;6;15
12;6;3
12;6;3
12;6;3
12;6;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
8;5;12
8;4;12
8;5;6
8;5;3
8;5;3
1;1;0
1;1;1
1;1;1
1;1;1
1;1;1
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
9;5;12
9;4;12
9;4;3
9;4;3
9;4;3
4;3;6
4;3;3
4;2;3
4;3;6
4;3;3
4;3;6
4;3;3
4;2;3
4;3;6
4;3;3
4;3;6
4;3;3
4;2;3
4;3;6
4;3;3
4;3;6
4;3;3
4;2;3
4;3;6
4;3;3
1;1;0
1;1;1
1;1;1
1;1;0
1;1;1
1;1;1
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
9;5;12
9;4;12
9;4;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
15;7;3
15;7;3
15;8;21
15;7;21
15;7;3
