nb_nodes;latency;overhead
6;3;3
12;6;3
8;5;3
1;1;1
9;4;3
4;3;3
1;1;1
1;1;1
9;4;3
15;7;3
10;5;3
16;8;3
8;5;3
12;6;3
8;5;3
10;5;3
12;6;3
17;8;3
6;3;3
10;5;3
11;6;6
4;3;3
11;6;6
6;3;3
11;6;6
19;9;3
18;9;3
10;5;3
2;2;1
15;7;3
4;3;3
5;3;6
13;6;3
13;6;3
12;6;3
15;7;3
8;5;3
7;4;3
4;3;3
19;9;3
6;3;3
6;3;3
8;5;3
19;9;3
5;3;6
3;2;3
5;3;6
11;6;6
14;7;3
2;2;1
8;5;3
5;3;6
2;2;1
2;2;1
16;8;3
8;5;3
18;9;3
18;9;3
16;8;3
4;3;3
7;4;3
16;8;3
3;2;3
8;5;3
11;6;6
4;3;3
8;5;3
2;2;1
13;6;3
12;6;3
1;1;1
7;4;3
4;3;3
15;7;3
13;6;3
10;5;3
14;7;3
7;4;3
3;2;3
13;6;3
10;5;3
9;4;3
5;3;6
4;3;3
8;5;3
3;2;3
8;5;3
19;9;3
7;4;3
13;6;3
14;7;3
19;9;3
2;2;1
5;3;6
5;3;6
15;7;3
4;3;3
19;9;3
4;3;3
9;4;3
6;3;3
3;2;3
18;9;3
19;9;3
12;6;3
16;8;3
1;1;1
16;8;3
18;9;3
8;5;3
2;2;1
13;6;3
11;6;6
14;7;3
5;3;6
15;7;3
1;1;1
8;5;3
14;7;3
5;3;6
14;7;3
15;7;3
4;3;3
8;5;3
18;9;3
11;6;6
15;7;3
7;4;3
6;3;3
13;6;3
12;6;3
2;2;1
12;6;3
16;8;3
1;1;1
5;3;6
6;3;3
12;6;3
4;3;3
11;6;6
2;2;1
15;7;3
13;6;3
11;6;6
19;9;3
12;6;3
12;6;3
10;5;3
14;7;3
16;8;3
2;2;1
19;9;3
9;4;3
15;7;3
18;9;3
10;5;3
8;5;3
19;9;3
7;4;3
3;2;3
1;1;1
4;3;3
6;3;3
13;6;3
12;6;3
3;2;3
10;5;3
9;4;3
11;6;6
4;3;3
9;4;3
15;7;3
19;9;3
3;2;3
7;4;3
8;5;3
3;2;3
11;6;6
5;3;6
19;9;3
7;4;3
17;8;3
2;2;1
4;3;3
16;8;3
9;4;3
17;8;3
10;5;3
17;8;3
13;6;3
11;6;6
7;4;3
19;9;3
6;3;3
17;8;3
7;4;3
7;4;3
19;9;3
15;7;3
9;4;3
8;5;3
12;6;3
3;2;3
19;9;3
7;4;3
10;5;3
10;5;3
3;2;3
7;4;3
3;2;3
16;8;3
11;6;6
2;2;1
3;2;3
5;3;6
18;9;3
14;7;3
4;3;3
2;2;1
2;2;1
1;1;1
11;6;6
8;5;3
15;7;3
18;9;3
18;9;3
6;3;3
11;6;6
10;5;3
8;5;3
