nb_nodes;latency;overhead
4;4;7
4;6;6
4;5;6
4;3;7
4;6;8
4;5;8
4;4;8
4;4;2
4;3;6
4;5;7
4;4;7
4;3;7
4;4;6
4;6;6
4;5;6
4;4;6
4;4;2
11;8;19
11;7;19
11;7;3
11;8;7
11;7;7
11;7;16
11;7;4
11;7;3
11;8;6
11;7;6
11;8;20
11;7;20
11;7;3
11;8;7
11;7;7
11;7;19
11;7;4
11;8;4
11;8;4
11;7;4
11;7;19
11;7;4
11;8;7
11;8;20
11;8;3
11;7;3
11;8;20
11;7;20
11;7;3
11;8;6
11;7;6
11;8;21
11;7;21
11;8;6
11;7;17
11;8;6
11;7;6
11;7;19
11;8;6
11;8;1
11;8;5
11;7;5
11;6;15
11;8;8
11;7;8
11;8;6
11;7;6
12;7;20
12;7;6
12;6;6
12;6;3
12;8;9
12;6;18
12;8;7
12;8;3
12;7;3
12;5;17
12;6;8
12;5;8
12;6;5
12;8;9
12;6;18
12;7;9
12;6;9
12;6;3
12;7;10
12;7;20
12;9;13
12;8;13
12;7;13
12;6;19
12;7;9
12;6;9
12;6;4
12;7;7
12;6;19
12;7;10
12;6;10
12;5;10
12;6;20
12;8;10
12;7;10
12;6;10
12;7;9
12;7;21
12;7;5
12;8;7
12;7;7
12;8;6
12;6;21
12;9;12
12;8;12
12;7;12
12;7;7
12;6;19
12;7;9
12;6;9
12;6;3
12;7;21
12;8;8
12;7;8
12;6;8
12;7;10
14;9;23
14;11;10
14;10;10
14;9;10
14;8;10
14;8;23
14;10;5
14;9;5
14;8;22
14;10;11
14;9;11
14;9;2
14;8;2
14;9;24
14;10;5
14;10;4
14;9;4
14;8;4
14;8;21
14;10;9
14;9;9
14;9;5
14;8;5
14;8;23
14;9;5
14;9;3
14;9;2
14;8;2
14;8;23
14;9;6
14;10;6
14;9;6
14;8;6
14;8;19
14;9;7
14;9;4
14;9;1
14;8;1
14;8;23
14;10;25
14;10;1
14;9;1
14;9;24
14;10;5
14;9;5
14;8;20
14;9;7
14;10;7
14;9;7
14;8;7
14;8;20
14;10;10
14;9;10
14;9;2
14;8;2
14;9;26
14;10;5
14;10;2
14;9;2
14;8;2
4;4;10
4;4;6
4;5;4
4;4;4
4;4;2
4;7;10
4;6;3
4;5;3
4;4;3
4;4;6
4;5;8
4;5;10
4;4;3
4;6;3
4;5;3
4;4;3
16;9;24
16;9;3
16;9;3
16;9;3
16;9;24
16;10;5
16;10;3
16;10;5
16;9;5
16;9;23
16;10;5
16;10;3
16;9;3
16;9;23
16;10;4
16;11;8
16;10;8
16;9;8
16;9;26
16;10;4
16;10;6
16;9;6
16;10;28
16;9;28
16;9;4
16;9;2
16;10;26
16;10;3
16;10;3
16;9;3
16;9;3
16;9;25
16;12;13
16;11;13
16;10;13
16;9;13
16;9;25
16;9;2
16;9;4
16;9;3
16;9;2
16;10;28
16;9;28
16;10;3
16;10;5
16;9;5
16;10;28
16;9;28
16;10;6
16;9;6
16;9;25
16;10;6
16;10;2
16;10;2
16;9;26
16;9;3
16;10;6
16;9;6
16;9;24
16;9;2
16;9;4
16;10;4
16;9;24
16;11;6
16;10;6
16;10;5
16;9;25
16;10;5
16;9;5
16;9;1
16;9;6
4;4;10
4;4;2
4;6;7
4;5;7
4;5;11
4;5;2
4;6;5
4;5;5
4;5;2
4;4;6
4;5;3
4;7;5
4;6;5
4;5;5
4;4;7
4;5;2
4;6;6
4;5;6
4;5;2
3;2;3
3;2;3
