nb_nodes;latency;overhead
4;4;4
11;7;5
12;7;8
14;8;5
4;4;4
16;9;4
4;5;4
3;3;3
6;5;4
16;10;6
12;8;7
7;4;6
12;8;7
2;3;1
6;5;8
14;8;4
7;5;6
16;9;10
3;2;2
11;7;5
5;4;3
18;9;4
15;9;4
12;7;7
7;5;6
11;6;4
9;6;12
17;9;5
8;5;3
2;6;1
10;6;5
13;7;7
19;9;5
16;8;5
17;9;4
4;4;5
8;8;10
13;7;7
13;8;10
18;10;8
10;7;5
9;5;7
3;2;2
19;10;7
16;8;6
15;8;3
16;9;5
12;8;10
6;5;5
5;5;6
17;9;5
5;5;4
9;6;7
12;6;4
18;10;3
10;8;4
5;3;5
4;5;6
13;7;6
19;10;4
10;7;5
14;8;4
15;9;7
4;3;3
7;6;6
13;8;7
19;10;6
17;10;7
8;6;6
18;11;10
18;10;12
15;8;7
1;1;1
12;7;5
4;4;3
6;4;4
17;9;6
5;4;3
13;8;4
8;7;6
10;6;5
18;9;5
2;7;4
13;7;5
14;8;7
2;2;2
4;3;4
13;7;7
8;6;5
18;10;7
8;5;4
10;6;5
9;6;12
9;7;8
3;2;2
18;8;4
16;9;6
15;9;6
18;9;3
11;7;4
12;11;11
10;8;4
8;7;6
10;6;3
2;4;3
11;7;5
7;4;8
5;3;8
17;10;8
10;7;6
7;8;15
16;9;5
15;10;9
12;7;6
15;8;7
14;8;5
5;4;5
1;1;1
1;1;1
11;7;5
2;3;1
4;3;9
9;5;7
5;3;5
17;9;5
16;9;13
18;9;4
3;4;4
3;3;3
17;9;6
5;4;4
12;6;4
3;2;4
15;9;7
14;10;6
3;3;3
3;2;4
3;2;2
7;4;4
2;3;2
7;5;5
4;4;4
9;6;4
5;5;9
18;10;6
1;1;1
17;9;5
15;8;7
9;7;8
17;12;11
13;7;8
12;7;5
1;1;1
8;5;12
9;5;4
11;7;8
6;6;4
7;5;6
4;6;5
3;3;1
10;6;16
9;5;4
4;4;4
5;5;3
4;4;4
19;10;7
14;9;5
17;9;3
15;9;5
18;11;5
4;4;4
7;6;7
9;5;5
12;8;7
3;3;6
13;7;11
7;5;7
2;4;3
17;8;5
9;6;5
11;8;6
17;9;6
5;3;5
16;8;5
11;7;5
11;6;7
17;9;8
16;8;6
10;6;5
19;10;5
1;1;1
16;9;4
11;7;4
14;9;3
8;7;14
12;7;5
3;2;2
17;10;4
19;11;6
2;3;3
10;7;5
4;4;4
1;1;1
18;9;8
15;8;9
2;2;1
16;8;9
6;6;5
14;8;5
7;6;6
19;9;5
5;4;3
18;9;6
14;8;4
7;5;4
5;5;4
5;4;7
10;6;4
9;5;3
9;8;12
16;8;5
17;10;4
12;8;6
14;8;10
17;11;7
19;11;6
16;8;7
18;9;8
14;9;10
11;8;8
13;7;6
12;7;4
10;6;6
18;10;6
15;9;4
12;9;10
4;6;4
3;2;2
11;8;3
10;6;5
2;7;6
12;7;14
7;5;8
5;3;5
18;9;4
6;5;6
16;9;5
17;9;4
10;6;6
1;1;1
12;8;6
7;5;11
11;8;5
11;7;3
7;4;3
4;3;2
17;10;8
12;8;5
3;3;4
3;2;2
5;5;6
6;5;6
8;7;6
16;9;5
10;8;8
2;2;1
6;5;6
8;6;6
7;8;9
3;2;4
3;3;5
19;11;7
12;7;9
8;8;9
9;5;5
10;7;5
14;8;8
12;10;12
14;8;8
5;4;3
18;9;3
5;4;3
2;5;2
9;7;7
19;9;5
14;9;7
12;7;6
2;3;1
6;5;10
19;10;7
1;1;1
4;5;3
6;5;11
17;9;5
5;4;5
6;4;4
1;1;1
1;1;1
3;3;5
3;3;5
13;8;8
12;9;6
10;7;11
14;9;4
16;9;8
7;5;14
11;6;6
5;4;3
19;12;11
12;8;5
3;2;3
10;6;4
1;1;1
18;12;6
2;2;1
15;8;7
1;1;1
8;6;7
11;6;4
12;7;7
16;8;4
16;9;5
19;10;4
1;1;1
10;7;5
1;1;1
9;8;11
7;5;7
2;3;3
6;5;4
1;1;1
4;3;4
1;1;1
16;11;10
9;6;5
15;8;5
5;4;6
9;5;7
2;3;2
18;10;5
8;6;3
17;8;22
